TA2023_V1_,TA2023_V_1,TA2023_V_2,LAND_AREA_,AREA_SQ_KM,Shape_Leng,xcoord,ycoord,latitude,longitude
59,Waimakariri District,Waimakariri District,2217.12771732,2217.12771732,266336.129966064,1544092.63009229,5211334.2903923,-43.249,172.311
60,Christchurch City,Christchurch City,1415.14739939,1484.70716474,547400.686949571,1580564.56860404,5163551.78034102,-43.681,172.759
62,Selwyn District,Selwyn District,6381.14787314001,6552.88648688001,515525.03864818,1508869.26333693,5204318.28211731,-43.308,171.876
63,Ashburton District,Ashburton District,6181.45093711999,6189.51487116999,419614.521033337,1470879.6976578,5165792.4450232,-43.65,171.399
64,Timaru District,Timaru District,2732.40642236,2732.40642236,448696.101102201,1446536.15587982,5123247.97127373,-44.028,171.085
65,Mackenzie District,Mackenzie District,7138.59055349,7442.37225591,539496.979003869,1395214.76503612,5128880.98184568,-43.965,170.447
66,Waimate District,Waimate District,3554.44645023,3583.06173731,287842.326302189,1422167.47003021,5058007.62510417,-44.609,170.759
67,Chatham Islands Territory,Chatham Islands Territory,793.8760022,808.26655434,455844.523702731,2440734.55774143,5081568.94097096,-43.936,-176.527
68,Waitaki District,Waitaki District,7107.94331625,7216.5259047,738952.689388735,1385658.77737963,5033895.36568571,-44.816,170.289
69,Central Otago District,Central Otago District,9933.26981046,9968.29777302,633785.343113338,1332267.5693046,4994279.97923559,-45.154,169.594
70,Queenstown-Lakes District,Queenstown-Lakes District,8719.66105633999,9375.19350768,603503.53977593,1271588.99932466,5044907.52810568,-44.674,168.857
71,Dunedin City,Dunedin City,3286.14193696,3286.14193696,576627.881264772,1385902.3737124,4938799.36079544,-45.671,170.251
72,Clutha District,Clutha District,6334.53557776,6362.3315137,610879.502680421,1333022.30059447,4890551.03582191,-46.086,169.547
73,Southland District,Southland District,29575.18889951,30226.49027761,4022672.93637347,1201273.43437586,4926396.04225006,-45.701,167.878
74,Gore District,Gore District,1253.84835228,1253.84835228,234517.582276075,1287778.15440908,4890052.51336927,-46.072,168.962
75,Invercargill City,Invercargill City,389.9176661,389.9176661,268977.533458352,1243579.8837821,4843379.34508178,-46.469,168.357
76,Auckland,Auckland,4941.16424810002,4942.23052023002,2894126.47902044,1754577.21590644,5936226.6223203,-36.707,174.731
999,Area Outside Territorial Authority,Area Outside Territorial Authority,30.06080934,30.06080934,97179.4032683516,1842269.33994361,5907778.42353358,-36.945,175.721
